fecha,entidad,fondo,nemotecnico,moneda,valor_cop
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT12071136,USD,19609302451.5
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,7925058595.8
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,11887587893.7
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30150549,USD,2758211386.2
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT11020234,USD,7967122182.0
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,7925058595.8
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT31180937,USD,11558897305.2
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT10250435,USD,4136032414.8
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT12071136,USD,19609302451.5
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30071154,USD,1981264648.95
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT10250435,USD,4136032414.8
2026-01,Colfondos,FONDO DE PENSIONES MODERADO,BGLT30150645,USD,13721868571.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT12071136,USD,19609302451.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT12071136,USD,3921860490.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT32180141,USD,58815464461.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT31180937,USD,22732498033.56
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
